run_id,source_family,agent,mode,benchmark,role,primary_category,count,extractor_version,run_role_total_invocations,run_role_category_share
evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,unknown,file_read_navigation,12,stable_schema,12,1.0
evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,unknown,file_read_navigation,11,stable_schema,12,0.9166666666666666
evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,unknown,text_search,1,stable_schema,12,0.08333333333333333
evmbench_native_runs|yudai-minisweagent|detect|2024-05-munchables|2026-04-14T19-20-41-GMT_run-group_yudai-detect_detect|2024-05-munchables_f76b4059-2058-4a32-9b67-fe35143262a1,evmbench_native_runs,yudai-minisweagent,detect,2024-05-munchables,unknown,completion_marker,1,stable_schema,7,0.14285714285714285
evmbench_native_runs|yudai-minisweagent|detect|2024-05-munchables|2026-04-14T19-20-41-GMT_run-group_yudai-detect_detect|2024-05-munchables_f76b4059-2058-4a32-9b67-fe35143262a1,evmbench_native_runs,yudai-minisweagent,detect,2024-05-munchables,unknown,shell_control_flow,6,stable_schema,7,0.8571428571428571
evmbench_runs_download|openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z|codex|gpt-5.4-6641e7fa|detect|2025-05-blackhole.json|openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/_task_results,evmbench_runs_download,codex,detect,2025-05-blackhole.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z|codex|gpt-5.4-6641e7fa|detect|2025-05-blackhole|2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect|2025-05-blackhole_f8adae50-2ddf-4c43-bf41-7cdcc1cb1a7b,evmbench_runs_download,codex,detect,2025-05-blackhole,unknown,file_read_navigation,15,stable_schema,27,0.5555555555555556
evmbench_runs_download|openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z|codex|gpt-5.4-6641e7fa|detect|2025-05-blackhole|2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect|2025-05-blackhole_f8adae50-2ddf-4c43-bf41-7cdcc1cb1a7b,evmbench_runs_download,codex,detect,2025-05-blackhole,unknown,file_write_edit,1,stable_schema,27,0.037037037037037035
evmbench_runs_download|openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z|codex|gpt-5.4-6641e7fa|detect|2025-05-blackhole|2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect|2025-05-blackhole_f8adae50-2ddf-4c43-bf41-7cdcc1cb1a7b,evmbench_runs_download,codex,detect,2025-05-blackhole,unknown,report_submission,4,stable_schema,27,0.14814814814814814
evmbench_runs_download|openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z|codex|gpt-5.4-6641e7fa|detect|2025-05-blackhole|2026-05-15T13-27-23-GMT_run-group_codex-openrouter-v1_detect|2025-05-blackhole_f8adae50-2ddf-4c43-bf41-7cdcc1cb1a7b,evmbench_runs_download,codex,detect,2025-05-blackhole,unknown,text_search,7,stable_schema,27,0.25925925925925924
